Op., WoO, Hess, Biamonti, Title, Key, Date, Scoring, Genre, Comments
 051, NaN, NaN, NaN,  Rondos (2), NaN,  1796-97,  pf,  Keyboard, NaN
 052, NaN, NaN,  034,  Lieder (8):, NaN,  1785-93,  v pf,  Vocal, NaN
 052/1, NaN, NaN,  034/1, 
 Urians Reise um die Welt ("Wenn jemand eine Reise tut"),  A minor,  1785-93,  v pf,  Vocal,  Words by Matthias Claudius
 052/2, NaN, NaN,  034/2, 
 Feuerfarb ("Ich weiß eine Farbe"),  G major,  1785-93,  v pf,  Vocal,  Words by Sophie Mereau
 052/3, NaN, NaN,  034/3, 
 Das Liedchen von der Ruhe ("Im Arm der Liebe ruht sich's wohl"),  F major,  1785-93,  v pf,  Vocal,  Words by Hermann Wilhelm Franz Ueltzen
 052/4, NaN, NaN,  034/4, 
 Maigesang (Mailied) ("Wie herrlich leuchtet mir dir Natur"),  E♭ major,  1785-93,  v pf,  Vocal,  Words by Johann Wolfgang von Goethe
 052/5, NaN, NaN,  034/5, 
 Mollys Abschied ("Lebe wohl  du Mann"),  G major,  1785-93,  v pf,  Vocal,  Words by Gottfried August Bürger
 052/6, NaN, NaN,  034/6, 
 Die Liebe ("Ohne Liebe lebe wer da kann"),  F major,  1785-93,  v pf,  Vocal,  Words by Gotthold Ephraim Lessing
 052/7, NaN, NaN,  034/7, 
 Marmotte ("Ich komme schon durch manches Land"),  A major,  1785-93,  v pf,  Vocal,  Words by Johann Wolfgang von Goethe
 052/8, NaN, NaN,  034/8, 
 Das Blümchen Wunderhold ("Es blüht ein Blümchen irgendwo"),  G major,  1785-93,  v pf,  Vocal,  Words by Gottfried August Bürger
 053, NaN, NaN,  411,  Piano Sonata No.21 ("Waldstein"),  C major,  1803-04,  pf,  Keyboard, NaN
 054, NaN, NaN,  412,  Piano Sonata No.22,  F major,  1804,  pf,  Keyboard, NaN
 055, NaN, NaN,  406,  Symphony No.3 ('Eroica'),  E♭ major,  1803,  orch,  Orchestral, NaN
 056, NaN, NaN,  410,  Triple Concerto,  C major,  1804-05,  vn vc pf orch,  Orchestral, NaN
 057, NaN, NaN,  420,  Piano Sonata No.23 ('Apassionata'),  F minor,  1804-05,  pf,  Keyboard, NaN
 058, NaN, NaN,  431,  Piano Concerto No.4,  G major,  1804-07  rev.1809,  pf orch,  Orchestral,  arr. for 2vn va vc db pf as Op.58a
 058a, NaN, NaN,  431,  Piano Concerto No.4,  G major,  1804-07,  2vn va vc db pf,  Chamber,  arr. of Op.58
 059, NaN, NaN,  436,  String Quartets (3) ('Razumovsky Quartets'):, NaN,  1806,  2vn va vc,  Chamber, NaN
 059/1, NaN, NaN,  436/1, 
 String Quartet No.7,  F major,  1806,  2vn va vc,  Chamber, NaN
 059/2, NaN, NaN,  436/2, 
 String Quartet No.8,  E minor,  1806,  2vn va vc,  Chamber, NaN
 059/3, NaN, NaN,  436/3, 
 String Quartet No.9,  C major,  1806,  2vn va vc,  Chamber, NaN
 060, NaN, NaN,  429,  Symphony No.4,  B♭ major,  1806,  orch,  Orchestral, NaN
 061, NaN, NaN,  432,  Violin Concerto,  D major,  1806,  vn orch,  Orchestral,  arr for pf orch as Op.61a
 061a, NaN, NaN,  441,  Piano Concerto,  D major,  1807,  pf orch,  Orchestral,  arr. of Op.61
 062, NaN, NaN,  438,  Coriolan,  C minor,  1807,  orch,  Orchestral, NaN
 063, NaN,  Anh.14,  II/65,  Piano Trio,  E♭ major, NaN,  vn va vc,  Chamber,  arr. of Op.4; Beethoven's authorship doubtful
 064, NaN,  Anh.15,  II/60,  Cello Sonata ('Grand Sonata'),  E♭ major,  1807,  vc pf,  Chamber,  spurious; arr.of Op.3 by unknown author
 065, NaN, NaN,  116,  Ah! Perfido, NaN,  1796,  sop orch,  Vocal, NaN
 066, NaN, NaN,  160,  Variations on 'Ein Mädchen oder Weibchen' (12),  F major,  1796,  vc pf,  Chamber,  based on an aria from Die Zauberflöte  K.620  by Wolfgang Amadeus Mozart
 067, NaN, NaN,  443,  Symphony No.5,  C minor,  1804-08,  orch,  Orchestral, NaN
 068, NaN, NaN,  453,  Symphony No.6,  F major,  1807-08,  orch,  Orchestral, NaN
 069, NaN, NaN,  444,  Cello Sonata No.3,  A major,  1807-08,  vc pf,  Chamber, NaN
 070, NaN, NaN,  455,  Piano Trios (2):, NaN,  1808,  vn vc pf,  Chamber, NaN
 070/1, NaN, NaN,  455/1, 
 Piano Trio ('Ghost'),  D major,  1808,  vn vc pf,  Chamber, NaN
 070/2, NaN, NaN,  455/2, 
 Piano Trio,  E♭ major,  1808,  vn vc pf,  Chamber, NaN
 071, NaN, NaN,  118,  Sextet,  E♭ major,  1792-96,  2cl 2bn 2hn,  Chamber, NaN
 072, NaN,  109,  423,  Fidelio (Leonore  oder Der Triumph der ehelichen Liebe)  opera in 3 acts, NaN,  1804-05,  vv ch orch,  Stage,  1st version; includes Op. 72a
 072, NaN,  110,  427,  Fidelio (Leonore  oder Der Triumph der ehelichen Liebe)  opera in 2 acts, NaN,  1805-06,  vv ch orch,  Stage,  2nd version; includes Op. 72b (and WoO 2/2?)
 072, NaN, NaN,  570,  Fidelio  opera in 2 acts, NaN,  1814,  vv ch orch,  Stage,  3rd version
 072a, NaN, NaN,  423,  Leonora Overture No.2,  C major,  1804-05,  orch,  Orchestral,  1st version of Opp. 72b   138 (included in 1st version of Op. 72)
 072b, NaN, NaN,  427,  Leonora Overture No.3,  C major,  1806,  orch,  Orchestral,  2nd version of Opp. 72a  138 (included in 2nd version of Op. 72)
 073, NaN, NaN,  499,  Piano Concerto No.5 ('Emperor'),  E♭ major,  1808-09,  pf orch,  Orchestral, NaN
 074, NaN, NaN,  485,  String Quartet No.10 ('Harp'),  E♭ major,  1809,  2vn va vc,  Chamber, NaN
 075, NaN, NaN,  502,  Gesänge (6):, NaN,  1809,  v pf,  Vocal, NaN
 075/1, NaN, NaN,  502/1, 
 Mignon ("Kennst du das Land"), NaN,  1809,  v pf,  Vocal, NaN
 075/2, NaN, NaN,  502/2, 
 Neue Liebe  neues Leben ("Herz  mein Herz  was soll das geben?"), NaN,  1809,  v pf,  Vocal,  2nd setting of WoO 27
 075/3, NaN, NaN,  502/3, 
 Aus Goethes Faust ("Es war einmal ein König"), NaN,  1809,  v pf,  Vocal, NaN
 075/4, NaN, NaN,  502/4, 
 Gretels Warnung ("Mit Liebesblick und Spiel"), NaN,  1809,  v pf,  Vocal, NaN
 075/5, NaN, NaN,  502/5, 
 An den fernen Geliebten ("Einst wohnten süsse Ruh'"), NaN,  1809,  v pf,  Vocal, NaN
 075/6, NaN, NaN,  502/6, 
 Der Zufriedene ("Zwar schuf das Glück hienieden"), NaN,  1809,  v pf,  Vocal, NaN
 076, NaN, NaN,  494,  Variations (6),  D major,  1809,  pf,  Keyboard, NaN
 077, NaN, NaN,  492,  Fantasia,  G minor,  1809,  pf,  Keyboard, NaN
 078, NaN, NaN,  493,  Piano Sonata No.24 ('A Thérèse'),  F♯ major,  1809,  pf,  Keyboard, NaN
 079, NaN, NaN,  495,  Piano Sonata No.25 ('Cuckoo'),  G major,  1809,  pf,  Keyboard, NaN
 080, NaN, NaN,  486,  Fantasia in C minor ('Choral Fantasia'),  C minor,  1808-09,  ch pf orch,  Vocal, NaN
 081a, NaN, NaN,  514,  Piano Sonata No.26 ('Les adieux'),  E♭ major,  1809-10,  pf,  Keyboard, NaN
 081b, NaN, NaN,  072,  Sextet in E-flat major,  E♭ major,  1795,  2hn 2vn va vc,  Chamber, NaN
 082, NaN, NaN,  513,  Arietten und ein Duett (4):, NaN,  1809-10,  v/2vv pf,  Vocal, NaN
 082/1, NaN, NaN,  513/1, 
 Hoffnung ("Dimmi  ben mio  che m'ami"), NaN,  1809-10,  v pf,  Vocal, NaN
 082/2, NaN, NaN,  513/2, 
 Liebes-Klage ("T'intendo  si  mio cor"), NaN,  1809-10,  v pf,  Vocal, NaN
 082/3, NaN, NaN,  513/3, 
 Che fa il mio bene? ("L'amante impatiente"), NaN,  1809-10,  v pf,  Vocal, NaN
 082/4, NaN, NaN,  513/4, 
 Che fa il mio bene? ("L'amante impatiente"), NaN,  1809-10,  v pf,  Vocal, NaN
 082/5, NaN, NaN,  513/5, 
 Lebensgenuß ("Odi l'aura che dolce sospira"), NaN,  1809-10,  2vvv pf,  Vocal, NaN
 083, NaN, NaN,  531,  Gesänge (3), NaN,  1810,  v pf,  Vocal, NaN
 083/1, NaN, NaN,  531, 
 Wonne der Wehmut ("Trocknet nicht  Tränen der ewigen Liebe!"), NaN,  1810,  v pf,  Vocal, NaN
 083/2, NaN, NaN,  531, 
 Sensucht ("Was zieht mir das Herz so?"), NaN,  1810,  v pf,  Vocal, NaN
 083/3, NaN, NaN,  531, 
 Mit einem gemalten Band ("Kleine Blumen  kleine Blätter streuen wir mit leichter Hand"), NaN,  1810,  v pf,  Vocal, NaN
 084, NaN, NaN,  518,  Egmont, NaN,  1809-10,  vv orch,  Stage, NaN
 085, NaN, NaN,  363,  Christus am Ölberge ('Christ on the Mount of Olives'), NaN,  1803-04,  3vv ch orch,  Vocal, NaN
 086, NaN, NaN,  439,  Mass,  C major,  1807,  4vvch orch,  Vocal, NaN
 087, NaN, NaN,  63,  Trio,  C major,  1794-95,  2ob eh,  Chamber, NaN
 088, NaN, NaN,  370,  Das Glück der Freundschaft ("Der lebt ein Leben wonniglich"), NaN,  1803,  v pf,  Vocal, NaN
 089, NaN, NaN,  588,  Polonaise in C major,  C major,  1814,  pf,  Keyboard, NaN
 090, NaN, NaN,  578,  Piano Sonata No.27,  E minor,  1814,  pf,  Keyboard, NaN
 091, NaN, NaN,  560,  Wellingtons Sieg (Wellington's Victory or 'Battle Symphony'), NaN,  1813,  orch,  Orchestral, NaN
 092, NaN, NaN,  544,  Symphony No.7,  A major,  1811-12,  orch,  Orchestral, NaN
 093, NaN, NaN,  659,  Symphony No.8,  F major,  1812,  orch,  Orchestral, NaN
 094, NaN, NaN,  611,  An die Hoffnung ("Ob ein Gott sei?"),  B♭ minor,  1813-15,  v pf,  Vocal,  2nd setting; see Op.32
 095, NaN, NaN,  524,  String Quartet No.11 ("Serioso"),  F minor,  1810-11,  2vn va vc,  Chamber, NaN
 096, NaN, NaN,  550,  Violin Sonata No.10 ("Cock-crow"),  G major,  1812,  vn pf,  Chamber, NaN
 097, NaN, NaN,  536,  Piano Trio("Archduke"),  B♭ major,  1810-15,  vn va vc,  Chamber, NaN
 098, NaN, NaN,  652,  An die ferne Geliebte:, NaN,  1816,  v pf,  Vocal, NaN
 098/1, NaN, NaN,  652, 
 Auf dem Hügel sitz' ich  spähend, NaN,  1816,  v pf,  Vocal, NaN
 098/2, NaN, NaN,  652, 
 Wo die Bergen so blau, NaN,  1816,  v pf,  Vocal, NaN
 098/3, NaN, NaN,  652, 
 Leichte Segler in den Höhen, NaN,  1816,  v pf,  Vocal, NaN
 098/4, NaN, NaN,  652, 
 Diese Wolken in den Höhen, NaN,  1816,  v pf,  Vocal, NaN
 098/5, NaN, NaN,  652, 
 Es kehret der Maien, NaN,  1816,  v pf,  Vocal, NaN
 098/6, NaN, NaN,  652, 
 Nimm sie hin denn  diese Lieder, NaN,  1816,  v pf,  Vocal, NaN
 099, NaN, NaN,  655,  Der Mann von Wort ("Du sagtest  Freund"),  G major,  1816,  v pf,  Vocal, NaN
 100, NaN, NaN,  596,  Merkenstein,  F major,  1815,  2vvv pf,  Vocal,  2nd setting of WoO 144
 101, NaN, NaN,  656,  Piano Sonata No.28,  A major,  1816,  pf,  Keyboard, NaN
 102, NaN, NaN,  599,  Cello Sonatas (2):, NaN,  1815,  vc pf,  Chamber, NaN
 102/1, NaN, NaN,  599/1, 
 Cello Sonata No.4,  C major,  1815,  vc pf,  Chamber, NaN
 102/2, NaN, NaN,  599/2, 
 Cello Sonata No.5,  D major,  1815,  vc pf,  Chamber, NaN
 103, NaN, NaN,  041,  Wind Octet,  E♭ major,  1792-93,  2ob 2cl 2bn 2hn,  Chamber,  revised for string quintet as Op.4
 104, NaN, NaN,  675,  String Quintet,  C minor,  1817,  2vn 2va vc,  Quintets,  arrangement of Op.1/3
 105, NaN, NaN,  693,  National Airs with Variations (6), NaN,  1818-19,  fl/vn pf,  Chamber, NaN
 105/1, NaN, NaN,  693/1, 
 Air écossais ("The Cottage Maid"),  G major,  1818,  fl/vn pf,  Chamber, NaN
 105/2, NaN, NaN,  693/2, 
 Air écossais,  C minor,  1819,  fl/vn pf,  Chamber, NaN
 105/3, NaN, NaN,  693/3, 
 Air autrichien ("A Schsserl und a Reindel"),  C major,  1818,  fl/vn pf,  Chamber, NaN
 105/4, NaN, NaN,  693/4, 
 Air écossais ("The Last Rose of Summer"),  E♭ major,  1818,  fl/vn pf,  Chamber, NaN
 105/5, NaN, NaN,  693/5, 
 Air écossais ("Chiling O'Guiry"),  E♭ major,  1818,  fl/vn pf,  Chamber, NaN
 105/6, NaN, NaN,  693/6, 
 Air écossais ("Paddy Whack"),  D major,  1818,  fl/vn pf,  Chamber, NaN
 106, NaN, NaN,  708,  Piano Sonata No.29 ("Hammerklavier"),  B♭ major,  1816-18,  pf,  Keyboard, NaN
 107, NaN, NaN,  694,  National Airs with Variations (10):, NaN,  1818-19,  fl/vn pf,  Chamber, NaN
 107/1, NaN, NaN,  694/1, 
 Air tirolien ("I bin a Tiroler Bua"), NaN,  1819,  fl/vn pf,  Chamber,  see also WoO 158/5
 107/2, NaN, NaN,  694/2, 
 Air écossais ("Bonnie Laddie  Highland Laddie"), NaN,  1818,  fl/vn pf,  Chamber, NaN
 107/3, NaN, NaN,  694/3, 
 Air de la petite Russie, NaN,  1819,  fl/vn pf,  Chamber, NaN
 107/4, NaN, NaN,  694/4, 
 Air écossais ("St. Patrick's Day"), NaN,  1819,  fl/vn pf,  Chamber,  see also WoO 154/4
 107/5, NaN, NaN,  694/5, 
 Air tirolien ("A Madel  ja a Madel"), NaN,  1818,  fl/vn pf,  Chamber,  see also WoO 158/6
 107/6, NaN, NaN,  694/6, 
 Air écossais ("Merch Megan"), NaN,  1818,  fl/vn pf,  Chamber,  see also WoO 155/11
 107/7, NaN, NaN,  694/7, 
 Air russe ("Schöne Minka"), NaN,  1818,  fl/vn pf,  Chamber,  see also WoO 158/16
 107/8, NaN, NaN,  694/8, 
 Air écossais ("O  Mary at thy Window Be"), NaN,  1818,  fl/vn pf,  Chamber, NaN
 107/9, NaN, NaN,  694/9, 
 Air écossais ("Oh  Thou art the Lad of my Heart"), NaN,  1818,  fl/vn pf,  Chamber, NaN
 107/10, NaN, NaN,  694/10, 
 Air écossais ("The Highland Watch"), NaN,  1818,  fl/vn pf,  Chamber, NaN
 108, NaN, NaN,  660,  Scottish Songs (25):, NaN,  1815-18,  v vn vc pf,  Vocal, NaN
 108/1, NaN, NaN,  660/1, 
 Music  Love and Wine ("O let me music hear  night and day!"), NaN,  1817,  v vn vc pf,  Vocal, NaN
 108/2, NaN, NaN,  660/2, 
 Sunset ("The sun upon the Weirdlaw Hill"), NaN,  1818,  v vn vc pf,  Vocal, NaN
 108/3, NaN, NaN,  660/3, 
 O Sweet were the Hours, NaN,  1817,  v vn vc pf,  Vocal, NaN
 108/4, NaN, NaN,  660/4, 
 The Maid of Isla ("O maid of Isla from yon cliff"), NaN,  1817,  v vn vc pf,  Vocal, NaN
 108/5, NaN, NaN,  660/5, 
 The Sweetest Lad was Jamie, NaN,  1815,  v vn vc pf,  Vocal, NaN
 108/6, NaN, NaN,  660/6, 
 Dim  Dim is my Eye, NaN,  1815,  v vn vc pf,  Vocal, NaN
 108/7, NaN, NaN,  660/7, 
 Bonnie Laddie  Highland Laddie ("Where got ye that siller moon"), NaN,  1815,  v vn vc pf,  Vocal, NaN
 108/8, NaN, NaN,  660/8, 
 The Lovely Lass of Inverness, NaN,  1816,  v vn vc pf,  Vocal, NaN
 108/9, NaN, NaN,  660/9, 
 Behold my Love how Green the Groves, NaN,  1817,  v vn vc pf,  Vocal, NaN
 108/10, NaN, NaN,  660/10, 
 Sympathy ("Why  Julia  say  that pensive mien?"), NaN,  1815,  v vn vc pf,  Vocal, NaN
 108/11, NaN, NaN,  660/11, 
 O! Thou Art the Lad of my Heart, NaN,  1815,  v vn vc pf,  Vocal, NaN
 108/12, NaN, NaN,  660/12, 
 O  Had My Fate Been Join'd With Thine, NaN,  1816,  v vn vc pf,  Vocal, NaN
 108/13, NaN, NaN,  660/13, 
 Come Fill  Fill  my Good fellow!, NaN,  1817,  v vn vc pf,  Vocal, NaN
 108/14, NaN, NaN,  660/14, 
 O  How Can I Be Blithe and Glad, NaN,  1816,  v vn vc pf,  Vocal, NaN
 108/15, NaN, NaN,  660/15, 
 O Cruel Was My Father, NaN,  1816,  v vn vc pf,  Vocal, NaN
 108/16, NaN, NaN,  660/16, 
