Op.,WoO,Hess,Biamonti,title,key,scoring,genre,name,year,minor,key_note,Unv.,major-minor,type,essential
,WoO 61,Hess 62,Biamonti 736, Allegretto,B minor, pf,Keyboard,"WoO 61, Biamonti 736",1821.0,1.0,B,,minor,Other,other
,WoO 61a,Hess 56,Biamonti 825, Bagatelle (Allegretto quasi Andante),G minor, pf,Keyboard,"WoO 61a, Biamonti 825",1825.0,1.0,G,,minor,Bagatelle,other
,WoO 62,Hess 41,Biamonti 846," String Quintet ('""Letzter musikalischer Gedanke') '('Last Musical Thought')",C major, 2vn va vc,Chamber,"WoO 62, Biamonti 846",1826.0,0.0,C,,major,Quintet,other
,WoO 63,,Biamonti 1, Variations on a March by Dressler (9),C minor, pf,Chamber,"WoO 63, Biamonti 1",1782.0,1.0,C,,minor,Other,other
,WoO 64,,Biamonti 25, Variations on a Swiss song(6),F major, pf/hp,Keyboard,"WoO 64, Biamonti 25",1792.0,0.0,F,,major,Piano variations,other
,WoO 65,Hess 55,Biamonti 299, Variations on 'Venni Amore' (24),D major, pf,Keyboard,"WoO 65, Biamonti 299",1791.0,0.0,D,,major,Piano variations,other
,WoO 66,,Biamonti 37, Variations on 'Es war einmal ein alter Mann'(13),A major, pf,Keyboard,"WoO 66, Biamonti 37",1792.0,0.0,A,,major,Piano variations,other
,WoO 67,,Biamonti 35, Variations on a Theme by Count Waldstein (8),C major, pf4h,Keyboard,"WoO 67, Biamonti 35",1792.0,0.0,C,,major,Piano variations,other
,WoO 68,,Biamonti 94, Variations on 'Menuet a la Vigano' (12),C major, pf,Keyboard,"WoO 68, Biamonti 94",1795.0,0.0,C,,major,Piano variations,other
,WoO 69,,Biamonti 90, Variations on 'Quant'e piu bello' (9),A major, pf,Keyboard,"WoO 69, Biamonti 90",1795.0,0.0,A,,major,Piano variations,other
,WoO 70,,Biamonti 91, Variations on 'Nel cor piu non mi sento' (6),G major, pf,Keyboard,"WoO 70, Biamonti 91",1795.0,0.0,G,,major,Piano variations,other
,WoO 71,,Biamonti 107, Variations on the Russian Dance from 'Das Waldmädchen' (12),A major, pf,Keyboard,"WoO 71, Biamonti 107",1797.0,0.0,A,,major,Piano variations,other
,WoO 72,,Biamonti 138, Variations on 'Une fièvre brûlante' (8),C major, pf,Keyboard,"WoO 72, Biamonti 138",1798.0,0.0,C,,major,Piano variations,other
,WoO 73,,Biamonti 175, Variations on 'La stessa  la stessissima' (10),B flat major, pf,Keyboard,"WoO 73, Biamonti 175",1799.0,0.0,B flat,,major,Piano variations,other
,WoO 74,,Biamonti 177/418, Variations for Piano Four-Hands on 'Ich denke dein' (6),D major, pf4h (+ v),Keyboard,"WoO 74, Biamonti 177/418",1718.0,0.0,D,,major,Piano variations,other
,WoO 75,,Biamonti 181, Variations on 'Kind  willst du ruhig schlafen' (7),F major, pf,Keyboard,"WoO 75, Biamonti 181",1799.0,0.0,F,,major,Piano variations,other
