Op.,WoO,Hess,Biamonti,Title,Key,Scoring,Genre,Comments,name,year,minor,key_note
Op. 71,,,Biamonti 118, Sextet,E flat major, 2cl 2bn 2hn,Chamber, NaN,"Op. 71, Biamonti 118",1796.0,0.0,E flat
Op. 72,,Hess 109,Biamonti 423, Fidelio (Leonore  oder Der Triumph der ehelichen Liebe)  opera in 3 acts,, vv ch orch,Stage, 1st version; includes Op. 72a,"Op. 72, Biamonti 423",1805.0,,
Op. 72,,Hess 110,Biamonti 427, Fidelio (Leonore  oder Der Triumph der ehelichen Liebe)  opera in 2 acts,, vv ch orch,Stage, 2nd version; includes Op. 72b (and WoO 2/2?),"Op. 72, Biamonti 427",1806.0,,
Op. 72,,,Biamonti 570, Fidelio  opera in 2 acts,, vv ch orch,Stage, 3rd version,"Op. 72, Biamonti 570",1814.0,,
Op. 72a,,,Biamonti 423, Leonora Overture No.2,C major, orch,Orchestral, 1st version of Opp. 72b   138 (included in 1st version of Op. 72),"Op. 72a, Biamonti 423",1805.0,0.0,C
Op. 72b,,,Biamonti 427, Leonora Overture No.3,C major, orch,Orchestral, 2nd version of Opp. 72a  138 (included in 2nd version of Op. 72),"Op. 72b, Biamonti 427",1806.0,0.0,C
Op. 73,,,Biamonti 499, Piano Concerto No.5 ('Emperor'),E flat major, pf orch,Orchestral, NaN,"Op. 73, Biamonti 499",1809.0,0.0,E flat
Op. 74,,,Biamonti 485, String Quartet No.10 ('Harp'),E flat major, 2vn va vc,Chamber, NaN,"Op. 74, Biamonti 485",1809.0,0.0,E flat
Op. 75 No. 1,,,Biamonti 502/1," Gesänge : Mignon (""Kennst du das Land"")",, v pf,Vocal, NaN,"Op. 75 No. 1, Biamonti 502/1",1809.0,,
Op. 75 No. 2,,,Biamonti 502/2," Gesänge : Neue Liebe  neues Leben (""Herz  mein Herz  was soll das geben?"")",, v pf,Vocal, 2nd setting of WoO 27,"Op. 75 No. 2, Biamonti 502/2",1809.0,,
Op. 75 No. 3,,,Biamonti 502/3," Gesänge : Aus Goethes Faust (""Es war einmal ein König"")",, v pf,Vocal, NaN,"Op. 75 No. 3, Biamonti 502/3",1809.0,,
Op. 75 No. 4,,,Biamonti 502/4," Gesänge : Gretels Warnung (""Mit Liebesblick und Spiel"")",, v pf,Vocal, NaN,"Op. 75 No. 4, Biamonti 502/4",1809.0,,
Op. 75 No. 5,,,Biamonti 502/5," Gesänge : An den fernen Geliebten (""Einst wohnten süsse Ruh'"")",, v pf,Vocal, NaN,"Op. 75 No. 5, Biamonti 502/5",1809.0,,
Op. 75 No. 6,,,Biamonti 502/6," Gesänge : Der Zufriedene (""Zwar schuf das Glück hienieden"")",, v pf,Vocal, NaN,"Op. 75 No. 6, Biamonti 502/6",1809.0,,
Op. 76,,,Biamonti 494, Variations (6),D major, pf,Keyboard, NaN,"Op. 76, Biamonti 494",1809.0,0.0,D
Op. 77,,,Biamonti 492, Fantasia,G minor, pf,Keyboard, NaN,"Op. 77, Biamonti 492",1809.0,1.0,G
Op. 78,,,Biamonti 493, Piano Sonata No.24 ('A Thérèse'),F sharp major, pf,Keyboard, NaN,"Op. 78, Biamonti 493",1809.0,0.0,F sharp
Op. 79,,,Biamonti 495, Piano Sonata No.25 ('Cuckoo'),G major, pf,Keyboard, NaN,"Op. 79, Biamonti 495",1809.0,0.0,G
Op. 80,,,Biamonti 486, Fantasia in C minor ('Choral Fantasia'),C minor, ch pf orch,Vocal, NaN,"Op. 80, Biamonti 486",1809.0,1.0,C
Op. 81a,,,Biamonti 514, Piano Sonata No.26 ('Les adieux'),E flat major, pf,Keyboard, NaN,"Op. 81a, Biamonti 514",1810.0,0.0,E flat
Op. 81b,,,Biamonti 72, Sextet in E-flat major,E flat major, 2hn 2vn va vc,Chamber, NaN,"Op. 81b, Biamonti 72",1795.0,0.0,E flat
Op. 82 No. 1,,,Biamonti 513/1," Arietten und ein Duett : Hoffnung (""Dimmi  ben mio  che m'ami"")",, v pf,Vocal, NaN,"Op. 82 No. 1, Biamonti 513/1",1810.0,,
