Op.,WoO,Hess,Biamonti,Title,Key,Scoring,Genre,Comments,name,year,minor,key_note
,WoO 48,Hess 51,Biamonti 4, Rondo,C major, pf,Keyboard, NaN,"WoO 48, Biamonti 4",1783.0,0.0,C
,WoO 49,,Biamonti 5, Rondo,A major, pf,Keyboard, NaN,"WoO 49, Biamonti 5",1783.0,0.0,A
,WoO 50,Hess 53,Biamonti 21, Piano Sonata,F major, pf,Keyboard, 2 movts. only,"WoO 50, Biamonti 21",1792.0,0.0,F
,WoO 51,,Biamonti 36, Piano Sonata,C major, pf,Keyboard, partially lost; completion by Ferdinand Ries,"WoO 51, Biamonti 36",1798.0,0.0,C
,WoO 52,,Biamonti 139, Bagatelle,C minor, pf,Keyboard, originally intended for Op.10,"WoO 52, Biamonti 139",1718.0,1.0,C
,WoO 53,,Biamonti 158, Allegretto,C minor, pf,Keyboard, originally intended for Op. 10; 1st version,"WoO 53, Biamonti 158",1797.0,1.0,C
,WoO 53,Hess 66,Biamonti 159, Allegretto,C minor, pf,Keyboard, 2nd version,"WoO 53, Biamonti 159",1797.0,1.0,C
,WoO 54,,Biamonti 26, Bagatelle ('Lustig-traurig'),C major, pf,Keyboard, NaN,"WoO 54, Biamonti 26",1802.0,1.0,C
,WoO 55,,Biamonti 374, Prelude,F minor, pf,Keyboard, NaN,"WoO 55, Biamonti 374",1803.0,1.0,F
,WoO 56,,Biamonti 408, Bagatelle,C major, pf,Keyboard, NaN,"WoO 56, Biamonti 408",1822.0,0.0,C
,WoO 57,,Biamonti 409, Andante favori,F major, pf,Keyboard, originally intended as movt. II of Op. 53; see also Hess Anh. 10,"WoO 57, Biamonti 409",1804.0,0.0,F
,WoO 58,,Biamonti 424, Cadenzas (2),D minor, pf,Keyboard, for movts. I and III of Piano Concerto No.20 in D minor  K.466  by Wolfgang Amadeus Mozart,"WoO 58, Biamonti 424",1809.0,1.0,D
,WoO 59,,Biamonti 515, Für Elise (Bagatelle),A minor, pf,Keyboard, NaN,"WoO 59, Biamonti 515",1810.0,1.0,A
,WoO 60,,Biamonti 690, Bagatelle in B-flat major ('Zeimlich lebhaft') ('A little lively'),B flat major, pf,Keyboard, NaN,"WoO 60, Biamonti 690",1818.0,0.0,B flat
,WoO 61,Hess 62,Biamonti 736, Allegretto,B minor, pf,Keyboard, NaN,"WoO 61, Biamonti 736",1821.0,1.0,B
,WoO 61a,Hess 56,Biamonti 825, Bagatelle (Allegretto quasi Andante),G minor, pf,Keyboard, NaN,"WoO 61a, Biamonti 825",1825.0,1.0,G
,WoO 62,Hess 41,Biamonti 846," String Quintet ('""Letzter musikalischer Gedanke') '('Last Musical Thought')",C major, 2vn va vc,Chamber, sketches only; arr. for pf and completed by Anton Diabelli,"WoO 62, Biamonti 846",1826.0,0.0,C
,WoO 63,,Biamonti 1, Variations on a March by Dressler (9),C minor, pf,Chamber, based on a march by Ernst Christoph Dressler,"WoO 63, Biamonti 1",1782.0,1.0,C
,WoO 64,,Biamonti 25, Variations on a Swiss song(6),F major, pf/hp,Keyboard/Chamber, NaN,"WoO 64, Biamonti 25",1792.0,0.0,F
,WoO 65,Hess 55,Biamonti 299, Variations on 'Venni Amore' (24),D major, pf,Keyboard, theme by Vincenzo Righini,"WoO 65, Biamonti 299",1791.0,0.0,D
,WoO 66,,Biamonti 37, Variations on 'Es war einmal ein alter Mann'(13),A major, pf,Keyboard, theme from the opera Das rote Käppchen by Carl Ditters von Dittersdorf,"WoO 66, Biamonti 37",1792.0,0.0,A
,WoO 67,,Biamonti 35, Variations on a Theme by Count Waldstein (8),C major, pf4h,Keyboard, NaN,"WoO 67, Biamonti 35",1792.0,0.0,C
,WoO 68,,Biamonti 94, Variations on 'Menuet a la Vigano' (12),C major, pf,Keyboard, theme from the ballet ''La nozza disturbate'' by Jakob Haibel,"WoO 68, Biamonti 94",1795.0,0.0,C
,WoO 69,,Biamonti 90, Variations on 'Quant'e piu bello' (9),A major, pf,Keyboard, theme from the opera L'amor contrastato  R 1.76  by Giovanni Paisiello,"WoO 69, Biamonti 90",1795.0,0.0,A
,WoO 70,,Biamonti 91, Variations on 'Nel cor piu non mi sento' (6),G major, pf,Keyboard, theme from the opera L'amor contrastato  R 1.76  by Giovanni Paisiello,"WoO 70, Biamonti 91",1795.0,0.0,G
,WoO 71,,Biamonti 107, Variations on the Russian Dance from 'Das Waldmädchen' (12),A major, pf,Keyboard, theme from the ballet ''Das Waldmádchen'' by Paul Wranitzky,"WoO 71, Biamonti 107",1797.0,0.0,A
,WoO 72,,Biamonti 138, Variations on 'Une fièvre brûlante' (8),C major, pf,Keyboard, theme from the opera Richard Cœur-de-Lion by André Ernest Modeste Grétry,"WoO 72, Biamonti 138",1798.0,0.0,C
,WoO 73,,Biamonti 175, Variations on 'La stessa  la stessissima' (10),B flat major, pf,Keyboard, theme from the opera Falstaff by Antonio Salieri,"WoO 73, Biamonti 175",1799.0,0.0,B flat
,WoO 74,,Biamonti 177/418, Variations for Piano Four-Hands on 'Ich denke dein' (6),D major, pf4h (+ v),Keyboard/Vocal, theme includes vocal part,"WoO 74, Biamonti 177/418",1718.0,0.0,D
,WoO 75,,Biamonti 181, Variations on 'Kind  willst du ruhig schlafen' (7),F major, pf,Keyboard, theme from the opera Das unterbrochene Opferfest by Peter von Winter,"WoO 75, Biamonti 181",1799.0,0.0,F
,WoO 76,,Biamonti 179, Variations on 'Tändeln und Scherzen' (8),F major, pf,Keyboard, theme from the opera ''Soliman oder die drei Sultaninnen'' by Franz Xaver Süssmayr,"WoO 76, Biamonti 179",1799.0,0.0,F
,WoO 77,,Biamonti 209, Variations in G major(6) ('Six Easy Variations on an Original Theme'),G major, pf,Keyboard, NaN,"WoO 77, Biamonti 209",1800.0,0.0,G
,WoO 78,,Biamonti 368, Variations on 'God Save the King' (7),C major, pf,Keyboard, theme of the British national anthem God Save the King,"WoO 78, Biamonti 368",1803.0,0.0,C
,WoO 79,,Biamonti 369, Variations on 'Rule Britannia' (5),D major, pf,Keyboard, theme of Rule Britannia by  Thomas Augustine Arne,"WoO 79, Biamonti 369",1803.0,0.0,D
,WoO 80,,Biamonti 430, Variations (32),C minor, pf,Keyboard, NaN,"WoO 80, Biamonti 430",1806.0,1.0,C
,WoO 81,,Biamonti 266, Allemande,A major, pf,Keyboard, NaN,"WoO 81, Biamonti 266",1718.0,0.0,A
,WoO 82,,Biamonti 373, Minuet,E flat major, pf,Keyboard, NaN,"WoO 82, Biamonti 373",1803.0,0.0,E flat
,WoO 83,,Biamonti 437, Ecossaises (6),E flat major, pf,Keyboard, NaN,"WoO 83, Biamonti 437",1806.0,0.0,E flat
,WoO 84,,Biamonti 793, Waltz,E flat major, pf,Keyboard, NaN,"WoO 84, Biamonti 793",1824.0,0.0,E flat
,WoO 85,,Biamonti 828, Waltz,D major, pf,Keyboard, NaN,"WoO 85, Biamonti 828",1825.0,0.0,D
,WoO 86,,Biamonti 829, Ecossaise,E flat major, pf,Keyboard, NaN,"WoO 86, Biamonti 829",1825.0,0.0,E flat
,WoO 87,,Biamonti 17, Cantata on the Death of Emperor Joseph II (Trauerkantate auf den Tod Joseph II),C minor, sop bass ch orch,Vocal, NaN,"WoO 87, Biamonti 17",1790.0,1.0,C
,WoO 88,,Biamonti 18, Cantata on the Accession of Emperor Leopold II (Kantate auf die Erhebung Leopold II zur Kaiserwürde),A flat major, sop ten bass ch orch,Vocal, NaN,"WoO 88, Biamonti 18",1790.0,0.0,A flat
,WoO 89,,Biamonti 28/1," Prüfung des Küssens (""Meine weise Mutter spricht"")",F major, bass orch,Vocal, NaN,"WoO 89, Biamonti 28/1",1792.0,0.0,F
,WoO 90,,Biamonti 28/2, Mit Mädeln sich vertragen,D major, bass orch,Vocal, NaN,"WoO 90, Biamonti 28/2",1792.0,0.0,D
,WoO 91 No. 1,,Biamonti 119/1, Die schöne Schusterin  arias for Umlau's Singspiel : O welch ein Leben! ein ganzes Meer,F major, sop orch,Stage, theme re-used in Op. 52/4,"WoO 91 No. 1, Biamonti 119/1",1795.0,0.0,F
,WoO 91 No. 2,,Biamonti 119/2, Die schöne Schusterin  arias for Umlau's Singspiel : Soll ein Schuh nicht drücken,B flat major, sop orch,Stage, NaN,"WoO 91 No. 2, Biamonti 119/2",1795.0,0.0,B flat
,WoO 92,,Biamonti 214, Primo amore piacer del ciel  scene and aria,A major, sop orch,Vocal, NaN,"WoO 92, Biamonti 214",1792.0,0.0,A
,WoO 92a,Hess 119,Biamonti 304, No  non turbarti  scene and aria,, sop str,Vocal, NaN,"WoO 92a, Biamonti 304",1802.0,,
,WoO 93,Hess 120,Biamonti 352, Ne' giorni tuoi felici  duet,, sop ten orch,Vocal, NaN,"WoO 93, Biamonti 352",1802.0,,
,WoO 94,,Biamonti 568, Germania,B flat major, vv ch orch,Stage, finale for the Singspield ''Die gute Nachricht'' by Georg Friedrich Treitschke,"WoO 94, Biamonti 568",1814.0,0.0,B flat
,WoO 95,,Biamonti 583," Chorus for the Allied Princes (Chor auf die verbündeten Fürsten) (""Ihr weisen Gründer"")",A major, ch orch,Vocal, NaN,"WoO 95, Biamonti 583",1814.0,0.0,A
,WoO 96,,Biamonti 595, Leonore Prohaska  incidental music,, nar sop mch orch,Stage, for the drama of the same name by Johann Friedrich Leopold Duncker; the funeral march (No. 4) is arr. for orch of movt. III from Op. 26,"WoO 96, Biamonti 595",1815.0,,
,WoO 97,,Biamonti 598, Es ist vollbracht  chorus,D major, bass ch orch,Stage, finale for the Singspiel ''Die Ehrempforten'' by Georg Friedrich Treitschke,"WoO 97, Biamonti 598",1815.0,0.0,D
,WoO 98,Hess 118,Biamonti 742, Wo sich die Pulse  chorus,B flat major, sop ch orch,Stage, part of Op. 114,"WoO 98, Biamonti 742",1822.0,0.0,B flat
,WoO 99 No. 1,Hess 211,Biamonti 58, Italian Partsongs:  Bei labbri  che Amore,B flat major, 2vv,Vocal, NaN,"WoO 99 No. 1, Biamonti 58",1803.0,0.0,B flat
,WoO 99 No. 2,Hess 214,Biamonti 202, Italian Partsongs:  Chi mai di questo core,C major, 3vv,Vocal, NaN,"WoO 99 No. 2, Biamonti 202",1803.0,0.0,C
,WoO 99 No. 3a,,Biamonti 142, Italian Partsongs:  Fra tutte le pene,, 2vv,Vocal, 1st setting  1st version,"WoO 99 No. 3a, Biamonti 142",1797.0,,
,WoO 99 No. 3a,Hess 208,Biamonti 143, Italian Partsongs:  Fra tutte le pene,, 2vv,Vocal, 1st setting  2nd version,"WoO 99 No. 3a, Biamonti 143",1803.0,,
,WoO 99 No. 3b,Hess 225,Biamonti 144, Italian Partsongs:  Fra tutte le pene,, 2vv,Vocal, 2nd setting  1st version,"WoO 99 No. 3b, Biamonti 144",1803.0,,
,WoO 99 No. 3b,Hess 209,Biamonti 145, Italian Partsongs:  Fra tutte le pene,, 2vv,Vocal, 2nd setting  2nd version,"WoO 99 No. 3b, Biamonti 145",1803.0,,
,WoO 99 No. 3c,Hess 224,Biamonti 146, Italian Partsongs:  Fra tutte le pene,, 2vv,Vocal, 3rd setting  1st version,"WoO 99 No. 3c, Biamonti 146",1803.0,,
,WoO 99 No. 3c,Hess 210,Biamonti 147, Italian Partsongs:  Fra tutte le pene,, 2vv,Vocal, 3rd setting  2nd version,"WoO 99 No. 3c, Biamonti 147",1803.0,,
,WoO 99 No. 4a,Hess 222,Biamonti 341, Italian Partsongs:  Già la notte s'avvicina,, 4vv,Vocal, 1st setting,"WoO 99 No. 4a, Biamonti 341",1803.0,,
,WoO 99 No. 4b,Hess 223,Biamonti 342, Italian Partsongs:  Già la notte s'avvicina,, 3vv,Vocal, 2nd setting,"WoO 99 No. 4b, Biamonti 342",1803.0,,
,,Hess 230,Biamonti 215, Giura il nocchier,C major, 4vv,Vocal, 1st setting  1st version,"Hess 230, Biamonti 215",1794.0,0.0,C
,WoO 99 No. 5a,Hess 221,Biamonti 336, Italian Partsongs:  Giura il nocchier,C major, 4vv,Vocal, 1st setting  2nd version,"WoO 99 No. 5a, Biamonti 336",1803.0,0.0,C
,WoO 99 No. 5b,Hess 227,Biamonti 59, Italian Partsongs:  Giura il nocchier,C major, 3vv,Vocal, 2nd setting,"WoO 99 No. 5b, Biamonti 59",1803.0,0.0,C
,WoO 99 No. 6,Hess 212,Biamonti 60, Italian Partsongs:  Ma tu tremi  o mio tesoro,G major, 3vv,Vocal, NaN,"WoO 99 No. 6, Biamonti 60",1803.0,0.0,G
,WoO 99 No. 7a,Hess 217,Biamonti 109, Italian Partsongs:  Nei campi e nelle selve,C major, 4vv,Vocal, 1st setting,"WoO 99 No. 7a, Biamonti 109",1803.0,0.0,C
,WoO 99 No. 7b,Hess 220,Biamonti 110, Italian Partsongs:  Nei campi e nelle selve,C major, 4vv,Vocal, 2nd setting,"WoO 99 No. 7b, Biamonti 110",1803.0,0.0,C
,WoO 99 No. 8,,Biamonti 84, Italian Partsongs:  O care selve,G major, v uch,Vocal, also published separately as WoO 119,"WoO 99 No. 8, Biamonti 84",1795.0,0.0,G
,WoO 99 No. 9,Hess 216,Biamonti 127, Italian Partsongs:  Per te d'amico aprile,E flat major, 3vv,Vocal, NaN,"WoO 99 No. 9, Biamonti 127",1803.0,0.0,E flat
,WoO 99 No. 10a,Hess 213,Biamonti 149, Italian Partsongs:  Quella cetra ah pur tu sei,A major, 3vv,Vocal, 1st setting,"WoO 99 No. 10a, Biamonti 149",1803.0,0.0,A
,WoO 99 No. 10b,Hess 218,Biamonti 148, Italian Partsongs:  Quella cetra ah pur tu sei,A major, 3vv,Vocal, 2nd setting,"WoO 99 No. 10b, Biamonti 148",1803.0,0.0,A
,WoO 99 No. 10c,Hess 219,Biamonti 150, Italian Partsongs:  Quella cetra ah pur tu sei,A major, 3vv,Vocal, 3rd setting,"WoO 99 No. 10c, Biamonti 150",1803.0,0.0,A
,WoO 99 No. 11,Hess 215,Biamonti 128, Italian Partsongs:  Scrivo in te,D major, 3vv,Vocal, NaN,"WoO 99 No. 11, Biamonti 128",1803.0,0.0,D
,WoO 99 No. 12,Hess 226,Biamonti 335, Italian Partsongs:  Silvio  amante disperato,, 4vv,Vocal, NaN,"WoO 99 No. 12, Biamonti 335",1802.0,,
,WoO 100,Hess 278,Biamonti 303," Lob auf den Dicken (""Schuppanzigh ist ein Lump"")  musical joke",G major, ten 2bass ch,Vocal, NaN,"WoO 100, Biamonti 303",1801.0,0.0,G
,WoO 101,Hess 279,Biamonti 331, Graf  liebster Graf  liebstes Schaf  musical joke,E flat major, 3vv,Vocal, NaN,"WoO 101, Biamonti 331",1802.0,0.0,E flat
,WoO 102,,Biamonti 573," Abschiedsgesang (""Die Stunde schlägt"") ('Song of Farewell')",B flat major, ten 2bass,Vocal, NaN,"WoO 102, Biamonti 573",1814.0,0.0,B flat
,WoO 103,Hess 127,Biamonti 574," Un lieto brindisi('Cantata campestre') (""Johannisfeier begehn wir heute"")",B flat major, 4vv pf,Vocal, NaN,"WoO 103, Biamonti 574",1814.0,0.0,B flat
,WoO 104,,Biamonti 673," Gesang der Mönche (""Rasch tritt der Tod den Menchen an"") (Song of the Monks)",C minor, 2ten bass,Vocal, for the play ''William Tell'' by Friedrich Schiller,"WoO 104, Biamonti 673",1817.0,1.0,C
,WoO 105,Hess 124,Biamonti 696," Hochzeitslied(""Auf Freunde  singt dem Gott der ehen!"")",A major, bass ch pf,Vocal, 1st version,"WoO 105, Biamonti 696",1819.0,0.0,A
,WoO 105,Hess 125,Biamonti 696," Hochzeitslied(""Auf Freunde  singt dem Gott der ehen!"")",C major, uch pf,Vocal, 2nd version,"WoO 105, Biamonti 696",1819.0,0.0,C
,WoO 106,,Biamonti 772, Lobkowitz-Cantate,E flat major, sop ch pf,Vocal, NaN,"WoO 106, Biamonti 772",1823.0,0.0,E flat
,WoO 107,,Biamonti 7," Schilderung eines Mädchens(""Schildern  willst du Freund  soll ich dir Elisen?"")",G major, v pf,Vocal, NaN,"WoO 107, Biamonti 7",1782.0,0.0,G
,WoO 108,,Biamonti 9," An einen Säugling (""Noch weisst du nicht  wes Kind du bist"")",A major, v pf,Vocal, NaN,"WoO 108, Biamonti 9",1783.0,0.0,A
,WoO 109,,Biamonti 13," Trinklied (beim Abschied zu singen) (""Erhebt das Glas mit froher Hand"")",C major, v pf,Vocal, NaN,"WoO 109, Biamonti 13",1792.0,0.0,C
,WoO 110,,Biamonti 14," Elegie auf den Tod eines Pudels (""Stirb immerhin  es welken ja so viele der Freuden"")",F minor, v pf,Vocal, NaN,"WoO 110, Biamonti 14",1790.0,1.0,F
,WoO 111,Hess 126,Biamonti 22," Punschlied(""Wer nicht  wenn warm von Hand zu Hand"")",G major, v pf,Vocal, NaN,"WoO 111, Biamonti 22",1792.0,0.0,G
,WoO 112,Hess 128,Biamonti 27," An Laura(""Freud' umblühe dich auf allen Wegen"")",G major, v pf,Vocal, NaN,"WoO 112, Biamonti 27",1792.0,0.0,G
,WoO 113,,Biamonti 23, Klage,E major, v pf,Vocal, NaN,"WoO 113, Biamonti 23",1790.0,0.0,E
,WoO 114,,Biamonti 38," Ein Selbstgespräch (""Ich  der mit flatternden Sinn"")",E major, v pf,Vocal, NaN,"WoO 114, Biamonti 38",1793.0,0.0,E
,WoO 115,,Biamonti 45," An Minna(""Nur bei dir  an deinem Herzen"")",D major, v pf,Vocal, NaN,"WoO 115, Biamonti 45",1792.0,0.0,D
,WoO 116a,Hess 129,Biamonti 44, Que le temps me dure,C minor, v pf,Vocal, 1st version  incomplete,"WoO 116a, Biamonti 44",1793.0,1.0,C
,WoO 116b,Hess 130,Biamonti 44, Que le temps me dure,C major, v pf,Vocal, 2nd version  incomplete,"WoO 116b, Biamonti 44",1793.0,0.0,C
,WoO 117,,Biamonti 77," Der freie Mann (""Wer ist ein freier Mann?"")",C major, uch,Vocal, NaN,"WoO 117, Biamonti 77",1794.0,0.0,C
,WoO 118,,Biamonti 79," Seufzer eines Ungeliebten und Gegenliebe (""Hast du nicht Liebe zugernessen"")",C minor, v pf,Vocal, theme later used in Op.80,"WoO 118, Biamonti 79",1795.0,1.0,C
,WoO 119,,Biamonti 84, O care selve,G major, v pf,Vocal, also published as WoO 99/8,"WoO 119, Biamonti 84",1795.0,0.0,G
,WoO 120,,Biamonti 78, Man strebt  die Flamme zu verhehlen,F major, v pf,Vocal, NaN,"WoO 120, Biamonti 78",1802.0,0.0,F
,WoO 121,,Biamonti 108," Abschiedsgesang an Wiens Bürger(""Keine Klage soll erschallen"")",G major, v pf,Vocal, NaN,"WoO 121, Biamonti 108",1796.0,0.0,G
,WoO 122,,Biamonti 132," Kriegslied der Österreicher (""Ein grosses deutches Volk sind wir"")",C major, v uch pf,Vocal, NaN,"WoO 122, Biamonti 132",1797.0,0.0,C
,WoO 123,,Biamonti 287," Zärtliche Liebe (""Ich liebe dich  so wie du mich"")",G major, v pf,Vocal, NaN,"WoO 123, Biamonti 287",1795.0,0.0,G
,WoO 124,,Biamonti 164," La Partenza (Der Abschied) (""Ecco quel fiero istante!"")",A major, v pf,Vocal, NaN,"WoO 124, Biamonti 164",1795.0,0.0,A
,WoO 125,Hess 135,Biamonti 125," La tiranna(""Ah grief to think"")",E flat major, v pf,Vocal, NaN,"WoO 125, Biamonti 125",1799.0,0.0,E flat
,WoO 126,,Biamonti 173," Opferlied(""Die Flamme lodert"")",E major, v pf,Vocal, 1st version of Op. 121b  Hess 91  Hess 145,"WoO 126, Biamonti 173",1795.0,0.0,E
,WoO 127,Hess 136,Biamonti 186," Neue Liebe  neues Leben (""Herz  mein Herz  was soll das geben?"")",C major, v pf,Vocal, 1st setting of Op. 75/2,"WoO 127, Biamonti 186",1799.0,0.0,C
,WoO 128,Hess 131,Biamonti 201," Plaisir d'aimer"" (""Plaisir d'aimer besoin d'une âme tendre"")",G major, v pf,Vocal, NaN,"WoO 128, Biamonti 201",1799.0,0.0,G
,WoO 129,,Biamonti 378," Der Wachtelschlag (""Ach  wie schalt's dorten so lieblich hervor"")",F major, v pf,Vocal, NaN,"WoO 129, Biamonti 378",1803.0,0.0,F
,WoO 130,,Biamonti 416," Gedenke mein! (""Gedenke mein  ich denke dein"")",E flat major, v pf,Vocal, NaN,"WoO 130, Biamonti 416",1820.0,0.0,E flat
,WoO 131,Hess 148,Biamonti 526," Erlkönig(""Wer reitet so spat durch Nacht und Wind?"")",D minor, v pf (?),Vocal, unfinished sketch for song,"WoO 131, Biamonti 526",1796.0,1.0,D
,WoO 132,,Biamonti 428," Als die Geliebte sich trennen wollte(""Der Hoffnung letzter Schimmer sinkt dahin"") ('Empfindungen bei Lydiens Untreue')",E flat major, v pf,Vocal, NaN,"WoO 132, Biamonti 428",1806.0,0.0,E flat
,WoO 133,,Biamonti 442, In questa tomba oscura  arietta,A flat major, v pf,Vocal, NaN,"WoO 133, Biamonti 442",1807.0,0.0,A flat
,WoO 134 No. 1,,Biamonti 446/1, Sehnsucht,G minor, v pf,Vocal, 1st setting,"WoO 134 No. 1, Biamonti 446/1",1808.0,1.0,G
,WoO 134 No. 2,,Biamonti 446/2, Sehnsucht,G minor, v pf,Vocal, 2nd setting,"WoO 134 No. 2, Biamonti 446/2",1808.0,1.0,G
,WoO 134 No. 3,,Biamonti 446/3, Sehnsucht,E flat major, v pf,Vocal, 3rd setting,"WoO 134 No. 3, Biamonti 446/3",1808.0,0.0,E flat
,WoO 134 No. 4,,Biamonti 446/4, Sehnsucht,G minor, v pf,Vocal, 4th setting,"WoO 134 No. 4, Biamonti 446/4",1808.0,1.0,G
,WoO 135,,Biamonti 503," Die laute Klage (""Turteltaube  du klagtest so laut"")",C minor, v pf,Vocal, NaN,"WoO 135, Biamonti 503",1815.0,1.0,C
,WoO 136,,Biamonti 496," Andenken (""Ich denke dein"")",D major, v pf,Vocal, NaN,"WoO 136, Biamonti 496",1808.0,0.0,D
,WoO 137,,Biamonti 498," Lied aus der Ferne (""Als mir noch die Träne"")",B flat major, v pf,Vocal, NaN,"WoO 137, Biamonti 498",1809.0,0.0,B flat
,WoO 138,,Biamonti 497," Der Jüngling in der Fremde (""Der Früling entblühet dem Schoß der Natur"")",B flat major, v pf,Vocal, NaN,"WoO 138, Biamonti 497",1809.0,0.0,B flat
,WoO 139,,Biamonti 500," Der Liebende (""Welch ein wunderbares Leben"")",D major, v pf,Vocal, NaN,"WoO 139, Biamonti 500",1809.0,0.0,D
,WoO 140 No. 1,,Biamonti 540/1," An die Geliebte (""O daß ich dir vom stillen Auge"")",D major, v pf,Vocal, 1st setting,"WoO 140 No. 1, Biamonti 540/1",1811.0,0.0,D
,WoO 140 No. 2,,Biamonti 540/2," An die Geliebte (""O daß ich dir vom stillen Auge"")",D major, v pf,Vocal, 2nd setting,"WoO 140 No. 2, Biamonti 540/2",1814.0,0.0,D
,WoO 141,,Biamonti 555," Der Gesang der Nachtigall (""Höre  die Nachtigall singt"""")",C major, v pf,Vocal, NaN,"WoO 141, Biamonti 555",1813.0,0.0,C
,WoO 142,,Biamonti 558," Der Bardengeist (""Dort auf dem hohen Felsen sang"")",E minor, v pf,Vocal, NaN,"WoO 142, Biamonti 558",1813.0,1.0,E
,WoO 143,,Biamonti 589," Des Kriegers Abschied (""Ich zieh' ins Feld von Lieb'entbrannt"")",E flat major, v pf,Vocal, NaN,"WoO 143, Biamonti 589",1814.0,0.0,E flat
,WoO 144,,Biamonti 587, Merkenstein,E flat major, v pf,Vocal, 1st setting of Op.100,"WoO 144, Biamonti 587",1814.0,0.0,E flat
,WoO 145,,Biamonti 642," Das Geheimnis (""Wo blüht das Blümchen  das nie verblüht?"")",G major, v pf,Vocal, NaN,"WoO 145, Biamonti 642",1815.0,0.0,G
,WoO 146,,Biamonti 648," Sehnsucht (""Die stille Nacht umdunkelt"")",E major, v pf,Vocal, NaN,"WoO 146, Biamonti 648",1816.0,0.0,E
,WoO 147,,Biamonti 658," Ruf vom Berge (""Wenn ich ein Vöglein wär"")",A major, v pf,Vocal, NaN,"WoO 147, Biamonti 658",1816.0,0.0,A
,WoO 148,,Biamonti 670," So oder So (""Nord oder Süd!"")",F major, v pf,Vocal, NaN,"WoO 148, Biamonti 670",1817.0,0.0,F
,WoO 149,,Biamonti 679," Resignation (""Lisch aus  mein Licht!"")",D major, v pf,Vocal, NaN,"WoO 149, Biamonti 679",1817.0,0.0,D
,WoO 150,,Biamonti 722," Abendlied unter'm gestirnten Himmel (""Wenn die Sonne nieder sinket"")",E major, v pf,Vocal, NaN,"WoO 150, Biamonti 722",1820.0,0.0,E
,WoO 151,Hess 132,Biamonti 768, Der edle Mensch sei hilfreich und gut,G major, v pf,Vocal, NaN,"WoO 151, Biamonti 768",1823.0,0.0,G
,WoO 152,,Biamonti 561, Irish Songs(25),, vv vn vc pf,Vocal, NaN,"WoO 152, Biamonti 561",1812.0,,
,WoO 153,,Biamonti 563, Irish Songs (20),, vv vn vc pf,Vocal, NaN,"WoO 153, Biamonti 563",1813.0,,
,WoO 154,,Biamonti 565, Irish Songs (12),, vv vn vc pf,Vocal, NaN,"WoO 154, Biamonti 565",1813.0,,
,WoO 155,,Biamonti 533, Welsh Songs (26),, vv vn vc pf,Vocal, NaN,"WoO 155, Biamonti 533",1815.0,,
,WoO 156,,Biamonti 691, Scottish Songs (12),, vv vn vc pf,Vocal, NaN,"WoO 156, Biamonti 691",1819.0,,
,WoO 157,,Biamonti 612, Songs of Various Nationalities (12),, vv (ch) vn vc pf,Vocal, NaN,"WoO 157, Biamonti 612",1820.0,,
,WoO 158a,,Biamonti 663, Songs of Various Nationalities (23),, vv vn vc pf,Vocal, NaN,"WoO 158a, Biamonti 663",1817.0,,
,WoO 158b,,Biamonti 667, British Folk Songs (7),, vv vn vc pf,Vocal, NaN,"WoO 158b, Biamonti 667",1817.0,,
,WoO 158c,,Biamonti 692, Assorted Folk Songs (6),, vv vn vc pf,Vocal, NaN,"WoO 158c, Biamonti 692",1820.0,,
,WoO 158d,,, Air Français,F major, vv vn vc pf,Vocal, NaN,WoO 158d,,0.0,F
,WoO 159,,Biamonti 83, Im Arm der Liebe ruht sich's wohl  canon,F major, 3vv,Vocal, NaN,"WoO 159, Biamonti 83",1795.0,0.0,F
,WoO 160a,Hess 247,Biamonti 85, Canon,G major, 3vv,Vocal, without text,"WoO 160a, Biamonti 85",1795.0,0.0,G
,WoO 160b,Hess 248,Biamonti 86, Canon,G major, 4vv,Vocal, without text,"WoO 160b, Biamonti 86",1795.0,0.0,G
,WoO 161,,Biamonti 528, Ewig dein'  canon',C major, 3vv,Vocal, NaN,"WoO 161, Biamonti 528",1811.0,0.0,C
,WoO 162,,Biamonti 646," An Mälzel(""Ta ta ta  lieber Mälzel"")  canon",B flat major, 4vv,Vocal, spurious; probably written by Anton Schindler,"WoO 162, Biamonti 646",,0.0,B flat
,WoO 163,,Biamonti 559, Kurz ist der Schmerz  und ewig ist die Freude'  canon',F minor, 3vv,Vocal, 1st setting of WoO 166,"WoO 163, Biamonti 559",1813.0,1.0,F
,WoO 164,,Biamonti 579, Freundschaft ist die Quelle wahrer Glückseligkeit  canon,C major, 3vv,Vocal, NaN,"WoO 164, Biamonti 579",1814.0,0.0,C
,WoO 165,,Biamonti 593, Glück zum neuen Jahr  canon,D major, 4vv,Vocal, 1st setting of WoO 176,"WoO 165, Biamonti 593",1815.0,0.0,D
,WoO 166,,Biamonti 594, Kurz ist der Schmerz  und ewig ist die Freude  canon,F major, 3vv,Vocal, 2nd setting of WoO 163,"WoO 166, Biamonti 594",1815.0,0.0,F
,WoO 167,Hess 249,Biamonti 610, Brauchle  Linke,C major, 3vv,Vocal, NaN,"WoO 167, Biamonti 610",1815.0,0.0,C
,WoO 168a,,Biamonti 649, Das Schweigen  canon,D minor, 3vv,Vocal, NaN,"WoO 168a, Biamonti 649",1816.0,1.0,D
